Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C2,C3,C7,C8,C10,C11",0.1uF,https://www.mouser.in/datasheet/2/40/KGM_X7R-3223212.pdf,cap_0.1uF:CAPC2012X94N,7,
"C4,C9",4.7uF,https://www.mouser.in/datasheet/2/281/murata_03052018_GRM_Series_1-1310166.pdf,cap_4.7uF_16V:CAPC1608X90N,2,
"C5,C6",18pF,https://www.mouser.in/datasheet/2/447/KEM_C1003_C0G_SMD-3316496.pdf,cap_18pF:C0805,2,
F2,MF-FSMF050X-2,https://www.mouser.in/datasheet/2/54/mffsmf-777670.pdf,KiCad:FUSC1608X100N,1,
J1,USB3090-XX-X_REVE,https://www.snapeda.com/parts/USB3090-30-A/Global%20Connector%20Technology/datasheet/,USB3090-XX-X_REVE:GCT_USB3090-XX-X_REVE,1,
"J2,J3",Conn_01x15,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf,my_Library:header_pin1x15,2,
LD1,YELLOW,~,LED_orange:LEDC2012X50N,1,
"LD2,LD4(TX)1",GREEN,https://www.mouser.in/datasheet/2/216/APHCM2012CGCK_F01-34366.pdf,-- mixed values --,2,
LD3(RX)1,RED,https://www.mouser.in/datasheet/2/216/APT2012SRCPRV-56885.pdf,LED_red:LEDC2012X85N,1,
"RP1,RP2",1k,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf,YC164_JR_071KL:RESCAXE80P320X160X70-8N,2,
S1,B3U-1000P,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,B3U_1000P:SW_B3U-1000P,1,
U1,ATMEGA328P-AU,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/ATmega48A-PA-88A-PA-168A-PA-328-P-DS-DS40002061B.pdf,ATMEGA328P-AU:QFP80P900X900X120-32N,1,
U2,SS1P3L,https://www.vishay.com/docs/88915/ss1p3l.pdf,SS1P3L:DO220AAL,1,
U3,FT232RL,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,1,
VR1,LM1117IMPX-5.0,https://www.ti.com/lit/ds/symlink/lm1117.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&DCM=yes&ref_url=https%3A%2F%2Fwww.mouser.in%2F&distId=26,LM1117IMPX-5.0:SOT230P700X180-4N,1,
X1,AVR-ICSP,,AVR-ICSP:ICSP-2X03-2.54,1,
Y1,CSTCE16M0V53-R0,https://www.murata.com/en-sg/products/productdetail?partno=CSTCE16M0V53-R0,crystal_3Terminal:CSTCE16M0V53R0,1,
